Coal or metal,Commodity,Mine name,Mine type,Operator ID,Operator name,State
M ,Active ,Newberg Rock & Dirt,Surface,3503598,Newberg Rock & Dirt  ,OR 
M ,Abandoned ,Allied Dirt Moving Co Pit & Plant,Surface,0502030,Allied Dirt Moving Company  ,CO 
M ,Abandoned ,AM Dirtworks & Aggregate Sales,Surface,4801789,AM Dirtworks & Aggregate Sales  ,ND 
C ,Abandoned ,Unit Train Loading Facility,Facility,4201449,Atlas-Dirty Devil Mining  ,UT 
C ,Abandoned ,Blackie Surface Mine & Prep Plant,Surface,4201450,Atlas-Dirty Devil Mining  ,UT 
M ,Abandoned ,"Hitt Pit, Inc.",Surface,1002257,Babe's Dirt Work  ,ID 
M ,Abandoned ,Bar-Lin Dirt Pit,Surface,1601167,Bar-Lin Dirt Company  ,LA 
M ,Abandoned ,Barber'S Dirt Pit,Surface,4103265,Barber'S Dirt Pit  ,TX 
M ,Intermittent ,BENDER SAND & DIRT,Surface,1401575,Bender Sand & Dirt  ,KS 
M ,Abandoned ,BERT'S DIRT,Surface,1700776,BERT'S DIRT  ,ME 
M ,Abandoned ,Dorothy V Pit,Surface,1601251,Big D Dirt Service Inc  ,LA 
M ,Abandoned ,Big Red Dirt Farm,Surface,0301963,Big Red Dirt Farm LLC  ,AR 
M ,Abandoned ,Big River Dirt Pit,Surface,1601082,Big River Dirt Pit  ,LA 
M ,Abandoned ,Harris Pit,Surface,3401751,Bob Harris Dirt Contracting  ,OK 
M ,Abandoned ,BOHANNON SAND & DIRT,Surface,1600916,Bohannon Sand & Dirt  ,LA 
M ,Abandoned ,Eubanks Pit,Surface,3401211,Bratcher'S Sand & Dirt  ,OK 
M ,Abandoned ,Brewer Pit,Surface,0301267,Brewer Dirt Works  ,AR 
M ,Abandoned ,Buck'S Dirt Pit,Surface,1600956,Buck'S Dirt Pit  ,LA 
M ,Abandoned ,Laurel Brick & Tile,Surface,2200033,C & G Dirt Hauling  ,MS 
M ,Abandoned ,Foster Canyon,Surface,0504953,"C N C Dirt Movers, Inc.  ",NM 
M ,Abandoned ,Cambridge #1,Surface,3401929,Cambridge Dirt Sand and Gravel LLC  ,OK 
M ,Abandoned ,Woolstock,Surface,1302445,Central Iowa Dirt & Demo LLC  ,IA 
M ,Abandoned ,Crowes Dirt Pit,Surface,1601106,Crowes Trucking & Dirt Pit Services  ,LA 
M ,Abandoned ,D & H Dirt,Surface,3400915,D & H Dirt  ,OK 
M ,Abandoned ,Amite Acres Dredge,Surface,1600983,Diez Dirt & Sand Hauling Inc  ,LA 
M ,Abandoned ,Dirt Cheap,Surface,4503200,Dirt Cheap  ,WA 
M ,Abandoned ,Pit #1,Surface,3401266,Dirt Company  ,OK 
M ,Abandoned ,Hicks Pit,Surface,3401468,Dirt Company  ,OK 
M ,Intermittent ,Bush Pilot,Surface,5001797,Dirt Company  ,AK 
M ,Abandoned ,Hog Lick Quarry,Surface,4608254,Dirt Con  ,WV 
C ,Abandoned ,Debco Mine,Surface,1510279,Dirt Diggers Inc  ,KY 
M ,Intermittent ,Rock Lake Plant,Surface,2103723,Dirt Doctor Inc  ,MN 
