byline,headline,summary,time,url
,Trump Retreats After Border Policy Outcry,,,https://www.nytimes.com/2018/06/20/us/politics/trump-immigration-children-executive-order.html
By MAGGIE HABERMAN and MICHAEL D. SHEAR 3:50 PM ET,"Families Would Be Detained Together, Not Separated","President Trump caved to political pressure and signed an executive order that ends the separation of families by detaining parents and children together at the border.

Mr. Trump had for weeks refused to end his administration’s “zero tolerance” policy, saying that the alternative would be to fling open the nation’s borders.",3:50 PM ET,https://www.nytimes.com/2018/06/20/us/politics/trump-immigration-children-executive-order.html
By KIRK SEMPLE 4:22 PM ET,"On Mexico’s Migrant Trail, Trump Policy Means Tough Choices","As word of the new “zero tolerance” policy has reached the migrant trail, are some reconsidering their trips?",4:22 PM ET,https://www.nytimes.com/2018/06/19/world/americas/mexico-family-separation-immigration.html
,American Airlines Asks Government Not to Use Its Flights to Carry Children,,,https://www.nytimes.com/2018/06/20/us/airlines-transport-immigrant-children.html
,Authorities Open ‘Tender Age’ Shelters for Young Children,,,https://www.nytimes.com/2018/06/20/us/tender-age-shelters-family-separation-immigration.html
,"Evangelical Leaders Lament Separations, but Still Stand Behind Trump",,,https://www.nytimes.com/2018/06/20/us/politics/evangelicals-immigration-trump.html
,,Here is how the Trump administration’s approach differs from the past.,,
By ELIZABETH WILLIAMSON and RON NIXON,"Once a Target of Trump’s Rage, Now She Protects Him","Kirstjen Nielsen, the homeland security secretary, had drafted resignation letter. Now she’s become a shield between the president and global criticism.",,https://www.nytimes.com/2018/06/19/us/politics/nielsen-trump-immigration-protector.html
By MICHAEL CORKERY 10:55 AM ET,Walmart Is ‘Surprised’ Store’s a Shelter. There Were Hints.,An executive at the retailer signed a document that indicated the property was being bought with a loan from a shelter operator.,10:55 AM ET,https://www.nytimes.com/2018/06/20/business/walmart-migrant-children-shelter.html
By LIZ ROBBINS 4:22 PM ET,Children Taken at the Border Arrive in New York,Children separated from their parents at the southern border are quietly being sent to shelters in New York.,4:22 PM ET,https://www.nytimes.com/2018/06/20/nyregion/children-separated-border-new-york.html
By EDUARDO PORTER and KARL RUSSELL,Immigration Myths and Global Realities,"Immigrants often deliver economic benefits, but they’ve also upended the politics of the industrialized world.",,https://www.nytimes.com/interactive/2018/06/20/business/economy/immigration-economic-impact.html
By ALEXANDER BURNS 3:36 PM ET,Bloomberg to Back House Democrats With $80 Million,"Michael R. Bloomberg, the former mayor of New York City, will throw his personal fortune behind the Democratic campaign to take control of the House of Representatives.

By siding so emphatically with one party, Mr. Bloomberg has the potential to upend the financial dynamics of the midterm campaign.",3:36 PM ET,https://www.nytimes.com/2018/06/20/us/politics/mike-bloomberg-democrats-election.html
By KATIE ROGERS and KENNETH P. VOGEL 1:04 PM ET,"Outside Trump Hotel, Tumult. Inside, a Sea of Conservative Cash.","On a day when President Trump had to forcefully defend his immigration policy, he also addressed supporters who paid $100,000 to $250,000 for a fundraiser.",1:04 PM ET,https://www.nytimes.com/2018/06/20/us/politics/trump-donors-america-first.html
